DEPARTAMENTO,HV271_Factor_de_puntuacion_del_indice_de_riqueza,m19_Peso_al_nacer_kg,HV040_Altitud_del_conglomerado_en_metros,HC1_Edad_en_meses,HC56_Nivel_de_hemoglobina_ajustado_por_altitud,HC63_Intervalo_de_nacimientos_anteriores_al_nino,M4_Duracion_de_la_lactancia,HV220_Edad_del_jefe_del_hogar,M46_Dias_que_tomo_hierro,M18_Tamano_al_nacer,m34_Horas_hasta_inicio_de_lactancia,M14_Numero_de_visitas_prenatales,HC62_Ano_mas_alto_de_educacion_de_la_madre,HC27_Sexo,HV012_Miembros_habituales_De_jure,SH49_Tipo_de_envase_o_recipiente,M13_Mes_de_gestacion_en_el_1er_control,HV234_Prueba_de_yodo_para_sal,SH42_Agua_Todo_El_Dia,HV240_Tiene_chimenea_o_campana,SH71_Numero_de_habitaciones_en_el_hogar,M55G_Liquidos_primeros_3_dias_Formula_para_bebes,SH76B_Ventanas_con_cristal,SH70_Fuente_Luz,HV014_Ninos_menores_de_5_anos,SH50_Lo_usa_con_tapa,SH63_Utiliza_otro_tipo_de_combustible_para_cocinar,HV216_Habitaciones_para_dormir,HV242_Cuarto_separado_para_cocinar,HV204_Tiempo_de_viaje_a_fuente,HV225_Comparte_servicio_higienico,HV237G_Agua_embotellada,HV025_Area_de_residencia,SH76D_Ventanas_con_malla,m15_Lugar_del_parto_agrupado,M17_Parto_por_cesarea,M54_Vitamina_A_primeros_2_meses_post_parto,SH76C_Ventanas_de_madera,M60_Tomo_antiparasitarios_en_el_embarazo,SH48_Conserva_Agua,HV237A_Tratamiento_de_agua_hervir,HV102_Residente_habitual,HV237_Tratamiento_del_agua
Amazonas,0.7165464745404342,0.28919889951768063,0.5191294531897802,0.5093126206177567,0.6671411317560856,0.6862406778186091,1.0,0.2106535277240196,0.5393528067119068,1.0,1.0,0.35143413317039046,0.6691042596553838,0.35985406637785305,0.8408422196571101,1.0,0.5858387561933989,0.5645574573351789,1.0,0.5562464084080074,0.560577586405586,0.8008421901012288,0.11455745368966634,0.003038236813547893,0.5742886177605067,0.15404333844093226,0.0,1.0,0.8276700042499244,0.2697210282298903,0.46779186641838716,0.19366864214855659,0.21201172684760197,0.647607207025351,0.4854228098413632,0.5520385872200866,0.41299445180798694,0.6433229089542607,0.43409991727419367,0.43611167826792063,0.76296159577527,0.33887832260856354,0.8682642912807195
Ancash,0.6154929338246298,0.40423168082383243,0.6627647833561136,0.291996717876875,0.7560649700519119,0.18668084162730852,0.5696809324775821,0.5164515867072077,0.8445800872854843,0.9452865926453637,0.6199597446845901,0.28127817768182645,0.3142968632204976,0.5426805029629314,1.0,0.9321643691437325,0.7040072868545084,0.442621239543358,0.6400869728038058,0.5904957861404375,0.955948931502019,0.7771114983784427,0.4498660798184131,0.038902141325766276,0.7010013391755942,0.3387787378932224,0.44470665379740565,0.46256443688453236,1.0,0.6157248407662764,0.35921027411616374,0.42363948237202953,0.2285876572194164,0.6598150087593521,0.5799193514538086,0.5547959981762097,0.7872509108793603,0.7784255695028183,0.3184368603771825,0.31577440719154554,0.7054715257848759,0.5571695855288245,0.5140963784156547
Apurimac,0.49124362677646616,0.23696338017107435,0.6355875780085601,0.2594166213924363,0.5473351521924413,0.5113910685364672,0.7053603035570117,0.7390435589568202,0.7650470219768606,0.42560669353996794,0.6853796274737455,0.7599010773063951,0.25960588142591723,0.711170569799032,0.6399487398261764,0.23829239309848912,0.5930615651374948,0.4206414872661069,0.6230869343175651,0.7719815927568641,0.5565510329705223,1.0,0.1699107102544631,0.19387310145914052,0.1420166628826285,0.2804395151307945,0.06446420326781387,0.9630791289600346,0.8340413395123344,0.2715900561343444,0.8017018347050552,0.35567139081386884,0.23345989127496636,0.8837867526632689,0.12089204222025994,0.3799495264814657,1.0,0.8289766857370686,0.45841469715619815,0.924873636700504,0.7106853276979227,0.4919479510141674,0.5184547107588919
Arequipa,0.7221250598923868,0.34417569786503777,0.4909266863476946,0.3480875119409947,0.46030635305466305,0.5156449726258818,0.3431252673281246,0.32915390972909225,0.8113716503036951,0.48363684219955755,0.3859774686696044,0.4676225553486787,0.5628400816947134,0.4851177306440545,0.8821358183168547,0.5728765206149528,0.9058160174283805,0.5813145092084189,0.6729764619536576,1.0,0.6638777840179979,0.4713083655445233,0.4347967496355992,0.549096445965193,1.0,0.19163097736054038,0.6244337172470177,0.40835635703016854,0.9214436366796568,0.4220616839732519,0.3284392888663806,0.6872909034585303,0.07483823788070483,1.0,0.6665400772637685,0.3392770087483521,0.20761013293971003,0.9992510426588557,0.5840180226546331,0.5312368066837576,0.969086217450193,0.5982028724282392,1.0
Ayacucho,0.30150816826604754,0.6037835697196553,0.6480021060678955,0.6700502711647811,0.6817155653498841,0.6423801513639957,0.3967413970703517,0.4166348672902999,0.7965071671648406,0.5188482216282129,0.425283950327994,0.4728334679414356,0.5504575850271494,0.6588224068555377,0.49719220633035,0.4495681824001862,0.4202999020853976,0.6252096503661602,0.5047747724354955,0.49168857127720667,0.41882048638181596,0.5528503649343216,0.02102141076819577,0.04343914165514779,0.32322917518656563,0.3083615838631035,0.44904375843700545,0.7668809917066535,0.49189847149294563,0.21798533366848336,0.4059414103045848,0.5143307527942668,0.2359182356218189,0.5670016816036642,0.5560670051262617,0.2237258260957178,0.297883624677264,0.5220253209412217,0.21680774104554457,0.2449244300793314,0.8026323709947287,0.0,0.5843992053806398
Cajamarca,0.5328258754450432,0.2710978753316069,0.4965941061301481,0.7646748465552763,0.7803827302546187,0.28558854743076406,0.8611144387765893,0.050649388513787315,1.0,0.6392419469698738,0.6813209697868181,0.13777922022440725,0.41843666815339664,0.5120841082773839,0.5218982215163657,0.7047901072322681,0.8928850265387991,0.2918074996501461,0.6292301392829852,0.33740186527673166,0.9752037785822858,0.6856535357250313,0.2102640896460655,0.2723662309526913,0.18366476211336616,0.47427420936041487,0.2398507481121304,0.9217386776341857,0.7280094671030604,0.31893512890428577,0.1682978688519287,0.34762662528002797,0.20153393364121497,0.616423933104092,0.5768242418223403,0.5041727389741928,0.16598253011820913,0.6487644096096944,0.18275106933539653,0.2242091517356071,0.6959134596683337,0.5580002107708457,0.7806416283150934
Callao,0.28852807454225515,0.2604779479251404,0.41605635574823174,0.007576323533194532,0.8559537683050985,1.0,0.8139296907113076,1.0,0.806780080010998,0.4876523659918633,0.25638574053341545,0.9512056974158869,0.0,0.06886882695534959,0.7959542982416364,0.42914911860969424,0.5724814774110973,0.0,0.8344551455674638,0.0,0.42524153932048797,0.9288617339822552,0.15007443297263093,0.17918462668546506,0.567929841004992,0.0,0.3597566287287926,0.3068396985093515,0.6278696270909346,0.21599342641296587,0.29680505596023476,0.24060086927252824,0.194489038623993,0.5637028592043604,0.043803231393767704,1.0,0.4714096195703463,0.3342662832777431,0.0,0.20517211311829384,0.32093658664262925,0.5212579451888913,0.2863363995573558
Cusco,0.3290467037470507,0.03697620497593667,0.48756875665107496,0.0,1.0,0.5827725465601145,0.5363982336185905,0.7914324368788523,0.9190843288929732,0.5386766105511671,0.5471171778230373,0.25823815363100155,1.0,0.0,0.6263672969092432,0.353195383969922,0.838806672945494,0.5131362777042644,0.3282999466991491,0.47955279522863625,0.6646941971571264,0.6534724644044481,0.25388664927456633,0.3694489839019248,0.7665575010429824,0.4838079627475655,0.2440010310590152,0.9069867319847496,0.3488013546087188,0.5628754706844304,0.210792810815737,0.9668179017074876,0.42032898838460947,0.5348967317609945,0.4540067698679344,0.3805698456485948,0.012873844142450337,0.3026837506882746,1.0,0.7665091531399563,0.4278271906040494,0.33281305201526973,0.3007733289849771
Huancavelica,0.44633565927402696,0.0,0.3188862309607855,0.0765430710865207,0.5649351893147498,0.9206722173076042,0.40337440078265063,0.18903802423355748,0.5255785463735774,0.09127266787474363,0.3693790249649326,0.483759032265631,0.7303263087336483,0.6351605395928671,0.7271409632755557,0.07428170833896351,1.0,1.0,0.5226135677194309,0.8764765361496781,0.7304423724168858,0.6540231780282546,1.0,0.7306069126350859,0.5140601461779886,0.3518687825454348,0.290641100451397,0.5076983225990678,0.6139279691217264,1.0,0.27830590885453266,0.9820656308734579,0.32021867123001324,0.7094054448733451,0.5668814528818459,0.0879937546935699,0.8450578652991257,0.7659943417965468,0.6808705913513864,1.0,0.8595267211935843,1.0,0.7944616454455141
Huanuco,0.0,1.0,0.23110429627870793,1.0,0.4331073715205663,0.03707836038126526,0.5168026172524639,0.3550539465634596,0.5010001537876109,0.9503844229325024,0.6762292616588725,0.15531097018538342,0.2236073161384864,0.6980190719106095,0.1699589161465948,0.476996462315452,0.6086158213833077,0.1817881458955632,0.32714911472109603,0.27429151057958157,0.47352512261105517,0.5183037036525028,0.212585358188401,0.09815674638814773,0.5324644958955007,0.840459770318558,0.19486282768712476,0.32144673457977935,0.5915689278487483,0.39248703397879225,0.3736471296361392,1.0,0.0,0.49706037003220105,0.46171675725395145,0.62812653725062,0.0,0.8416426243417144,0.25532350704022544,0.7504537937461513,0.9413353751842841,0.05314373351285391,0.6640194523856798
