iter	Passed	Remaining
0	230	230172
1	289	144624
2	345	114933
3	397	99051
4	457	90946
5	510	84617
6	572	81259
7	630	78222
8	687	75739
9	740	73267
10	797	71716
11	847	69748
12	895	67968
13	947	66752
14	997	65506
15	1053	64794
16	1110	64221
17	1178	64318
18	1239	63997
19	1298	63632
20	1368	63790
21	1459	64900
22	1547	65719
23	1623	66037
24	1713	66823
25	1781	66748
26	1843	66418
27	1888	65573
28	1940	64981
29	1994	64482
30	2054	64212
31	2123	64241
32	2226	65252
33	2315	65776
34	2401	66209
35	2453	65690
36	2510	65349
37	2568	65017
38	2627	64755
39	2677	64265
40	2736	64002
41	2801	63912
42	2880	64109
43	2941	63905
44	3002	63719
45	3065	63568
46	3150	63874
47	3233	64138
48	3314	64326
49	3399	64593
50	3479	64741
51	3566	65026
52	3674	65648
53	3749	65693
54	3806	65403
55	3866	65181
56	3923	64907
57	3980	64641
58	4033	64334
59	4089	64065
60	4140	63743
61	4196	63486
62	4248	63192
63	4306	62988
64	4372	62893
65	4563	64583
66	4673	65076
67	4750	65106
68	4831	65191
69	4929	65494
70	5031	65832
71	5117	65962
72	5189	65893
73	5244	65632
74	5293	65287
75	5348	65025
76	5409	64848
77	5467	64630
78	5538	64571
79	5640	64868
80	5737	65092
81	5843	65422
82	5943	65664
83	6020	65655
84	6099	65655
85	6156	65428
86	6208	65158
87	6263	64911
88	6325	64751
89	6383	64547
90	6445	64380
91	6500	64152
92	6560	63977
93	6615	63764
94	6670	63541
95	6728	63359
96	6786	63177
97	6853	63081
98	6927	63050
99	6990	62913
100	7052	62777
101	7113	62626
102	7173	62476
103	7230	62292
104	7284	62093
105	7344	61945
106	7399	61754
107	7458	61597
108	7513	61414
109	7574	61284
110	7630	61109
111	7691	60985
112	7749	60831
113	7808	60684
114	7861	60496
115	7915	60320
116	7975	60192
117	8026	59991
118	8084	59854
119	8141	59704
120	8197	59553
121	8250	59379
122	8304	59211
123	8365	59098
124	8426	58983
125	8483	58847
126	8537	58686
127	8596	58561
128	8656	58446
129	8713	58313
130	8767	58159
131	8826	58041
132	8886	57930
133	8947	57822
134	9005	57704
135	9059	57555
136	9116	57429
137	9173	57302
138	9230	57175
139	9287	57049
140	9342	56914
141	9399	56794
142	9450	56637
143	9506	56512
144	9564	56397
145	9620	56275
146	9681	56177
147	9730	56017
148	9787	55901
149	9841	55770
150	9896	55641
151	9956	55545
152	10018	55460
153	10078	55366
154	10136	55262
155	10200	55188
156	10260	55093
157	10328	55042
158	10395	54985
159	10439	54804
160	10498	54710
161	10558	54617
162	10626	54568
163	10688	54484
164	10746	54384
165	10808	54304
166	10872	54233
167	10931	54134
168	11000	54090
169	11062	54012
170	11125	53937
171	11187	53856
172	11248	53770
173	11308	53685
174	11373	53619
175	11397	53362
176	11456	53271
177	11514	53171
178	11573	53083
179	11634	53002
180	11698	52935
181	11763	52869
182	11832	52825
183	11896	52759
184	11963	52706
185	12029	52646
186	12095	52584
187	12160	52521
188	12228	52471
189	12295	52419
190	12356	52336
191	12410	52225
192	12469	52138
193	12527	52049
194	12587	51963
195	12645	51872
196	12707	51796
197	12767	51714
198	12827	51634
199	12883	51533
200	12947	51466
201	13008	51389
202	13171	51713
203	13231	51628
204	13294	51556
205	13354	51474
206	13414	51387
207	13474	51305
208	13529	51205
209	13590	51125
210	13651	51046
211	13716	50984
212	13779	50913
213	13842	50841
214	13898	50745
215	13953	50646
216	14010	50552
217	14067	50462
218	14120	50358
219	14177	50264
220	14238	50187
221	14291	50084
222	14355	50019
223	14418	49948
224	14480	49878
225	14543	49808
226	14607	49741
227	14671	49678
228	14745	49645
229	14813	49591
230	14876	49523
231	14934	49438
232	15000	49377
233	15069	49330
234	15134	49266
235	15195	49192
236	15252	49104
237	15308	49014
238	15371	48944
239	15430	48862
240	15489	48782
241	15547	48698
242	15615	48646
243	15676	48570
244	15741	48509
245	15798	48423
246	15858	48347
247	15928	48299
248	15993	48238
249	16058	48175
250	16119	48101
251	16183	48037
252	16248	47976
253	16307	47894
254	16364	47810
255	16420	47722
256	16480	47645
257	16539	47568
258	16593	47475
259	16656	47406
260	16715	47328
261	16774	47250
262	16839	47187
263	16894	47101
264	16956	47030
265	17019	46962
266	17076	46879
267	17137	46807
268	17200	46742
269	17259	46665
270	17317	46583
271	17377	46509
272	17441	46447
273	17496	46360
274	17557	46288
275	17619	46219
276	17677	46140
277	17732	46053
278	17793	45983
279	17854	45911
280	17915	45840
281	17976	45769
282	18037	45698
283	18095	45622
284	18157	45554
285	18219	45485
286	18276	45405
287	18334	45326
288	18397	45262
289	18459	45195
290	18521	45126
291	18581	45053
292	18651	45006
293	18718	44950
294	18790	44905
295	18856	44847
296	18915	44772
297	18973	44695
298	19035	44628
299	19096	44559
300	19152	44476
301	19211	44402
302	19284	44360
303	19350	44301
304	19415	44240
305	19480	44181
306	19538	44105
307	19602	44041
308	19667	43980
309	19732	43919
310	19792	43848
311	19849	43770
312	19912	43706
313	19972	43634
314	20037	43573
315	20100	43509
316	20159	43435
317	20219	43364
318	20281	43297
319	20343	43229
320	20404	43161
321	20466	43094
322	20523	43017
323	20585	42950
324	20647	42883
325	20707	42813
326	20769	42746
327	20831	42678
328	20888	42603
329	20943	42522
330	21004	42453
331	21067	42389
332	21130	42324
333	21192	42258
334	21255	42193
335	21317	42126
336	21376	42054
337	21438	41988
338	21503	41927
339	21564	41861
340	21629	41799
341	21701	41752
342	21771	41702
343	21840	41648
344	21898	41575
345	21962	41512
346	22029	41456
347	22104	41414
348	22176	41366
349	22233	41291
350	22293	41221
351	22364	41171
352	22431	41114
353	22503	41066
354	22567	41002
355	22628	40934
356	22686	40861
357	22751	40800
358	22820	40746
359	22883	40681
360	22942	40610
361	23007	40548
362	23070	40484
363	23127	40410
364	23185	40335
365	23248	40272
366	23310	40205
367	23367	40130
368	23435	40074
369	23490	39997
370	23587	39990
371	23690	39993
372	23766	39951
373	23836	39896
374	23913	39855
375	24000	39829
376	24078	39790
377	24150	39740
378	24224	39692
379	24282	39619
380	24349	39560
381	24417	39502
382	24477	39432
383	24542	39369
384	24618	39325
385	24692	39277
386	24757	39215
387	24822	39153
388	24890	39095
389	24968	39052
390	25039	39000
391	25116	38956
392	25188	38904
393	25272	38870
394	25343	38817
395	25419	38771
396	25482	38704
397	25549	38645
398	25617	38587
399	25682	38523
400	25737	38445
401	25796	38374
402	25856	38303
403	25923	38243
404	25991	38185
405	26066	38136
406	26137	38082
407	26197	38012
408	26263	37949
409	26323	37879
410	26387	37815
411	26456	37757
412	26525	37701
413	26595	37644
414	26670	37595
415	26747	37548
416	26826	37505
417	26892	37443
418	26955	37376
419	27029	37326
420	27105	37277
421	27174	37220
422	27235	37150
423	27306	37095
424	27377	37039
425	27444	36978
426	27507	36913
427	27574	36851
428	27662	36819
429	27739	36771
430	27814	36720
431	27885	36663
432	27950	36600
433	28022	36545
434	28093	36488
435	28165	36434
436	28227	36365
437	28298	36310
438	28360	36241
439	28428	36181
440	28493	36117
441	28561	36057
442	28632	36001
443	28717	35961
444	28808	35929
445	28896	35893
446	28974	35845
447	29041	35783
448	29114	35728
449	29191	35678
450	29268	35628
451	29333	35563
452	29507	35630
453	29573	35566
454	29635	35496
455	29701	35433
456	29773	35376
457	29847	35321
458	29922	35267
459	29996	35213
460	30056	35142
461	30119	35073
462	30180	35004
463	30248	34942
464	30308	34870
465	30371	34802
466	30431	34732
467	30495	34665
468	30560	34600
469	30627	34537
470	30692	34472
471	30750	34398
472	30819	34337
473	30880	34267
474	30946	34204
475	31009	34136
476	31079	34076
477	31147	34014
478	31214	33951
479	31284	33891
480	31348	33825
481	31421	33768
482	31492	33709
483	31561	33647
484	31626	33583
485	31702	33528
486	31772	33468
487	31831	33396
488	31892	33327
489	31960	33265
490	32032	33207
491	32099	33143
492	32161	33074
493	32225	33008
494	32296	32948
495	32364	32886
496	32435	32827
497	32503	32764
498	32572	32703
499	32639	32639
500	32710	32579
501	32779	32517
502	32839	32447
503	32916	32394
504	32988	32334
505	33066	32282
506	33140	32225
507	33208	32162
508	33273	32096
509	33338	32031
510	33408	31969
511	33464	31896
512	33527	31828
513	33599	31769
514	33671	31710
515	33750	31657
516	33817	31593
517	33884	31529
518	33960	31473
519	34035	31417
520	34110	31360
521	34183	31302
522	34256	31243
523	34322	31178
524	34395	31119
525	34449	31043
526	34517	30980
527	34589	30921
528	34657	30857
529	34738	30805
530	34822	30756
531	34890	30693
532	34975	30644
533	35058	30593
534	35129	30532
535	35188	30461
536	35257	30399
537	35329	30338
538	35408	30284
539	35485	30228
540	35563	30173
541	35641	30117
542	35705	30050
543	35770	29984
544	35836	29918
545	35903	29853
546	35976	29794
547	36049	29734
548	36117	29670
549	36196	29614
550	36269	29555
551	36352	29503
552	36430	29447
553	36499	29384
554	36568	29320
555	36635	29256
556	36704	29192
557	36771	29127
558	36844	29066
559	36910	29001
560	36981	28938
561	37054	28878
562	37122	28814
563	37183	28744
564	37252	28680
565	37307	28606
566	37369	28537
567	37435	28472
568	37491	28398
569	37554	28330
570	37623	28266
571	37691	28202
572	37757	28137
573	37825	28072
574	37885	28002
575	37954	27938
576	38021	27873
577	38083	27804
578	38148	27738
579	38213	27672
580	38279	27606
581	38350	27543
582	38414	27476
583	38483	27412
584	38551	27348
585	38617	27282
586	38679	27214
587	38753	27153
588	38828	27094
589	38903	27034
590	38976	26973
591	39042	26907
592	39112	26844
593	39179	26779
594	39250	26716
595	39325	26656
596	39399	26596
597	39470	26533
598	39541	26471
599	39613	26408
600	39686	26347
601	39764	26289
602	39840	26229
603	39925	26176
604	40004	26118
605	40077	26057
606	40142	25989
607	40210	25924
608	40281	25861
609	40358	25802
610	40426	25738
611	40499	25676
612	40569	25612
613	40631	25543
614	40707	25483
615	40775	25418
616	40839	25350
617	40904	25283
618	40970	25217
619	41040	25154
620	41109	25089
621	41181	25026
622	41248	24960
623	41319	24897
624	41391	24835
625	41469	24775
626	41540	24712
627	41610	24648
628	41684	24586
629	41754	24522
630	41827	24459
631	41890	24391
632	41960	24327
633	42035	24266
634	42102	24200
635	42178	24139
636	42253	24078
637	42331	24018
638	42398	23953
639	42469	23889
640	42532	23820
641	42605	23758
642	42678	23695
643	42745	23629
644	42813	23563
645	42884	23500
646	42950	23433
647	43019	23368
648	43096	23307
649	43171	23246
650	43235	23178
651	43311	23117
652	43397	23061
653	43482	23004
654	43556	22942
655	43640	22884
656	43840	22887
657	43911	22823
658	43982	22758
659	44051	22693
660	44117	22626
661	44183	22558
662	44250	22492
663	44318	22426
664	44388	22360
665	44457	22295
666	44540	22236
667	44629	22180
668	44715	22123
669	44784	22058
670	44858	21994
671	44933	21931
672	45002	21866
673	45068	21798
674	45132	21730
675	45197	21662
676	45268	21597
677	45338	21532
678	45413	21469
679	45486	21405
680	45558	21340
681	45623	21273
682	45695	21208
683	45761	21141
684	45824	21072
685	45899	21009
686	45976	20946
687	46041	20879
688	46102	20809
689	46170	20743
690	46234	20675
691	46298	20606
692	46352	20534
693	46423	20469
694	46490	20402
695	46557	20335
696	46621	20267
697	46683	20198
698	46749	20131
699	46817	20064
700	46883	19997
701	46955	19932
702	47029	19868
703	47104	19805
704	47172	19738
705	47237	19671
706	47310	19606
707	47376	19539
708	47452	19476
709	47528	19412
710	47604	19349
711	47675	19284
712	47750	19220
713	47817	19153
714	47889	19088
715	47962	19024
716	48031	18957
717	48101	18892
718	48170	18826
719	48237	18758
720	48315	18696
721	48389	18631
722	48479	18573
723	48549	18507
724	48620	18442
725	48694	18377
726	48760	18310
727	48840	18248
728	48927	18188
729	49004	18125
730	49077	18059
731	49147	17993
732	49225	17930
733	49293	17863
734	49369	17799
735	49444	17735
736	49514	17669
737	49577	17600
738	49648	17534
739	49727	17471
740	49801	17407
741	49870	17340
742	49951	17278
743	50030	17214
744	50115	17153
745	50190	17089
746	50274	17027
747	50366	16968
748	50432	16900
749	50501	16833
750	50572	16767
751	50650	16703
752	50734	16641
